TaskID,Subject,Modality,TaskName,Agonist,Antagonist,CAI
11,RABA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,55.3195163460868
11,RABA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,63.5537035988709
9,RABA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,75.924773525531
9,RABA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,62.3991163232766
14,RABA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,77.8640404126531
15,RABA_ses2,Device,Elbow_Flexion,Bicep,Tricep,7.09558815295304
17,RABA_ses2,Baseline,Pointing_Task,Tricep,Bicep,32.245095918697
17,RABA_ses2,Baseline,Pointing_Task,DeltAnt,DeltPost,46.45066845151
18,RABA_ses2,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,54.6008311773481
18,RABA_ses2,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,57.0479090863027
19,RABA_ses2,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,48.9839109665442
19,RABA_ses2,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,54.1105669368664
20,RABA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,55.146898670004
20,RABA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,37.0022453254672
21,RABA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,68.3514101627494
21,RABA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,58.0799001954946
22,RABA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,46.5597728975727
22,RABA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,65.9298696318872
25,RABA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,75.2724910287143
26,RABA_ses2,Device,Elbow_Flexion,Bicep,Tricep,18.4616300848048
27,RABA_ses2,Device,Pointing_Task,Tricep,Bicep,46.2696523032453
27,RABA_ses2,Device,Pointing_Task,DeltAnt,DeltPost,43.773836851137
28,RABA_ses2,Device,HFT_Large_Light_Objects,Bicep,Tricep,72.9887424716717
28,RABA_ses2,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,64.2979208478257
29,RABA_ses2,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,51.8867716955142
29,RABA_ses2,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,58.8957198610155
31,RABA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,78.4044935111785
31,RABA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,48.9400917949527
32,RABA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,69.2999193966267
32,RABA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,50.8739652808057
33,RABA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,56.557333209102
33,RABA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,66.1237840352562
36,RABA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,82.526434435484
37,RABA_ses2,Device,Elbow_Flexion,Bicep,Tricep,61.3734225568047
38,RABA_ses2,Device,Pointing_Task,Tricep,Bicep,53.0365712486166
38,RABA_ses2,Device,Pointing_Task,DeltAnt,DeltPost,15.9107862818171
39,RABA_ses2,Device,HFT_Large_Light_Objects,Bicep,Tricep,52.2404230328484
39,RABA_ses2,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,52.6685566537822
40,RABA_ses2,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,61.5059351754064
40,RABA_ses2,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,3.97889286358062
41,RABA_ses2,Device,JAMAR_Palmar_Grip,Bicep,Tricep,71.7985918182315
41,RABA_ses2,Device,JAMAR_Palmar_Grip,DeltAnt,DeltPost,49.217596747164
42,RABA_ses2,Device,HFT_Feeding_task,Bicep,Tricep,67.4991442670397
42,RABA_ses2,Device,HFT_Feeding_task,DeltAnt,DeltPost,41.305984866511
43,RABA_ses2,Device,Box_and_Blocs_Test,Tricep,Bicep,68.5433999157307
43,RABA_ses2,Device,Box_and_Blocs_Test,DeltAnt,DeltPost,63.9450386471445
