TaskID,Subject,Modality,TaskName,Muscle,MeanActivation
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,Tricep,0.000130188569300277
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltAnt,1.27456464856197e-06
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltPost,0.000585957062787374
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,0.000288416684102255
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,Tricep,1.1367286564825e-05
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,1.11654965168917e-05
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,DeltPost,2.36250399638598e-05
32,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,0.000345833715560248
32,GUEA_ses1,Baseline,HFT_Feeding_task,Tricep,0.000170691591577467
32,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,0.00109948539704653
32,GUEA_ses1,Baseline,HFT_Feeding_task,DeltPost,0.000148078444897137
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,Bicep,0.000233665500717535
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,0.000412631045736044
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,0.000564629033054211
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltPost,0.000956172939033559
35,GUEA_ses1,Device,Rest,Bicep,3.96277829442371e-06
35,GUEA_ses1,Device,Rest,Tricep,6.85171895937246e-07
35,GUEA_ses1,Device,Rest,DeltAnt,7.20903420515217e-06
35,GUEA_ses1,Device,Rest,DeltPost,1.22166211405496e-05
36,GUEA_ses1,Device,Shoulder_Flexion,Bicep,0.000161962797184647
36,GUEA_ses1,Device,Shoulder_Flexion,Tricep,9.39268816985786e-05
36,GUEA_ses1,Device,Shoulder_Flexion,DeltAnt,0.00520213781927233
36,GUEA_ses1,Device,Shoulder_Flexion,DeltPost,0.000127230358322305
37,GUEA_ses1,Device,Elbow_Flexion,Bicep,0.000358366824850736
37,GUEA_ses1,Device,Elbow_Flexion,Tricep,9.41883581681401e-05
37,GUEA_ses1,Device,Elbow_Flexion,DeltAnt,0.00241788357282786
37,GUEA_ses1,Device,Elbow_Flexion,DeltPost,7.13345571355576e-06
38,GUEA_ses1,Device,Pointing_Task,Bicep,7.20347873469539e-05
38,GUEA_ses1,Device,Pointing_Task,Tricep,0.000181610163215043
